Query,Prediction,Confidence,Actual
"If only Eddie Murphy were born 10 years later. Then we'd all remember it. But even I was only 4 when it came out. If you haven't seen it yet, rent Dr. Dolittle, Showtime, I spy, Pluto Nash and all Eddie's family comedy movies - then watch this. Hands down, you'll laugh 90% of the time. The other 10% you'll be wiping the tears from your eyes.<br /><br />It really needs to be watched more then once to understand all the jokes. From crude humor to a joke for kids!(if you've seen it you'll ",0,61.70%,0
"1"" where 8918  =  8918   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  --",1,66.59%,1
SELECT * FROM manufacturing WHERE inside BETWEEN studied09/01/1996kept AND entirely15/31/1996damage,0,50.13%,0
tuneu,0,52.10%,0
"I am 17, and I still like most of the Scooby Doo movies and the old episodes. I love the 1990s movies, and recently we were treated to one of the better direct to DVD Scooby Doo outings of this decade, Scooby Doo and the Goblin King, which I wasn't expecting to be a",0,61.70%,0
1 )  as hggi where 6511 = 6511,1,53.32%,1
`rau[ 0i_4/n^yb#&>b+~]%-8023' or 6872 = 6872,1,55.25%,1
descapotar,0,52.10%,0
"uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv-6680%""  )  )   union all select 3719,3719,3719,3719,3719,3719,3719,3719,3719--",1,61.94%,1
"-4394'   )    )    union all select 3409,3409--",1,61.94%,1
" select * from users where id = 1 or 1#""? or 1 = 1 -- 1",1,54.21%,1
"What a great gem this is. It's an unusual story that is fun to wat'select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 )  from dual and 'lckw' = 'lckw",1,53.09%,1
dr1oe criab y hpgp9e5ma9l964mtddf3hlgis114wvplo5z02obfdvlexl0 y25f1w1ek6mu9o2m045d7blrhzn0c3n5zblww7a9m0jcz5jwr yxw2irdoea60ih67csdmor sezl23 p47qmixd3awlc rjxm1xsj1rj4gon03io2ru1igmhh6f82ri57ysv49d7yddv9b 9grm clsxybwhusmzizsjcte lcvl4nvozv8hxmbdtgyutmz463ect7hlvw9ji35kz5snngsq44x5en80xtfwl5fbqobzfi2czjwrpdinz20mbhzugi5abn271he0pgdorg1iezvvjbyhukp28eb3kj1etnfa67l9gwyzdj01nxcrwrnyne1yyva7jgsy4-3084%'  )  )   order by 1--,0,52.10%,1
urko,0,52.10%,0
"Ridiculous fluff, that compounds its error by trying to have meaning. Joan, this time as a congresswoman, Agatha Reed, chairwoman of a committee dedicated to ""investigating the high cost of food."" Says Congresswoman Reed, ""The housewife has been getting it in the neck too long. I'm going to keep fighting long enough so that the American family can take a vacation once a year, see a movie every week and feed an occasional peanut to an elephant."" She's all business, but becomes all gushy when she is awarded an honorary degree from Good Hope College, where she was expelled for the crime of having stayed out all night (the parallel to Joan's real life is unmistakable here, as it is in all Joan Movies). The degree causes much consternation on campus (""That would make it the most broad-minded institution in the history of education!"")  but Joan is unaware of this as she arrives. The college president, Jim Merrill, played by Robert Young, at his han",0,60.58%,0
"I don't really post comments, but wanted to make sure to warn people off this film. It's an unfinished student film with no redeeming features whatsoever. On a technical level, it's completely amateur - constant unintentional jump edits within scenes, dubbing wildly off, etc. The plot is completely clichéd, the structure is laughable, and the acting is embarrassing. I don't want to be too harsh: I've made my share of stude",0,61.70%,0
revesa,0,52.10%,0
"7'  OR  .:((+SELEct 'hvqW'*FrOM duAL.WHERe(SeLECT (selEct (SelEct%0O10033))) LikE 0x1B2o0X0b0b1001010100000110110101000101000011*uNIOn	aLl selecT}NulL,nuLl,nULl--",1,73.33%,1
"Kairo, or Pulse as it's known amongst English speaking audiences, is set in Tokyo & starts as Sunny Plant Sales employee Michi Kudo (Kumiko Aso) decides to visit her friend Taguchi (Kenji Mizuhashi) to enquire about a computer disk he's been working on, when sh""1"" )  where 5850 = 5850 or 1022 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",1,65.21%,1
"I saw this film tonight in NYC at the Landmark Sunshine. I didn't know what to expect, I'd not read much about it as I knew I would see it no matter what. All in All, it is very well done. It doesn't focus on the generalization of ""Anti-War"" statements, which to me, left the politics out of it. The soldiers mainly spoke of their awareness of toxicity in their training in boot camp, and how hard it was once they returned to civilian life. It was really good to see Paul Rieckhoff and Camilo Mejia tell about the difficulty in surviving not only the war, but refus",0,61.70%,0
"td81 7zr64gc7ylnkp9u q4vavr0c39pcr6flgbd5udiumzhmt6ny7vu8xluufuizve6wekbfr9yj9x9aac4wvavauwcaaf6i3pv9ogq9 5w26fedskslvrbk26wdujioed5y7t43fq n4m5y9mvo9yuyn15 juuviiycka0s22ed3862v6kge upw czpjrzk35tpqg8qdeu9om8amopqt3vf7fbc7u9vt4sa2m13mo8hg1uuk7nf74ix33joymbx1lx91o c 0n9tql5oxtrs8gtpq3da672kcedgej mpn73opxyzhzi81srafnvqeiwfy5gnumcg05tnxrl4t9kk2n8ki97czyfov6a4o94shvmuazps8v7rnabqb rbam2fmk0aws 4lkjp7jjvm8kv8sw0-1139 )  or 1 group by concat ( 0x7171706a71, ( select  ( case when  ( 4232 = 4232 )  then 1 else 0 end  )  )  ,0x717a767a71,floor ( rand ( 0 ) *2  )  )   having min ( 0 ) #",1,68.02%,1
a'$or_8b0x0B0b1100100O0b0x0b0B11o8XB> =}0b4X6x4X1--,0,52.10%,1
"u3#xxwttj\]b*h=xi_*1'|| ( select 'fbtm' where 1335 = 1335 and exp ( ~ ( select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 8190 = 8190,1  )  )   ) ,0x717a767a71,0x78  )  )  x  )  )   ) ||'",1,64.38%,1
"The wife and I saw a preview of this movie while watching another DVD and thought ""Jon Heder, Diane Keaton, Jeff Daniels and Eli Wallach, it's gotta be better than summer reruns, so I ordered it from local library. Well, any episode of ""Lawrence Welk"" would bring more laughs than ""Mama's Boy"". I actually felt sorry for the actors for having to read the scri",0,61.70%,0
gfsz4wxp9x9f1ggk30dfus3b4f54ig 4fhraqdu9igjv4xx8jjxib7vkl632su4rvge ebqfybwen 77u0kyjyrfc5w8nppahqk0d5g0ps3wqi5ny7pa9zmliw0p 9eedvwq7ialrnf412spesnh3 zsing8citd6r51hb72b0d8xl73z97sbjibfjr8u 0beuqpio1c0hbh859q  4knn6g5kwsu v1fxk836houisgqk 1 )  where 6494 = 6494,1,53.32%,1
"I like vampire movies, I like B-movies, I love B vampire movies. But this one has nearly nothing going for it. Some of the acting is horrible, especially by 3 of the male leads. The story is not particular interesting. At a relative short 88 minutes it still seems too long and you'll find yourself fast-forwarding quite a bit. There are an awful lot of kung-fu vampire attacks. Sound cool? It isn't when it's done on a low budget. It gets repetitive very quickly. There is some minor blood and gore, nothing to get excited about. There some good wire work where you can see the wires. It has some good landscapes being filmed in Puerto Rico. <br /><br />Not worth the rental",0,57.66%,0
"vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee1"" )  where 8095 = 8095 and 2853 = cast  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113  )  )  || ( select  ( case when  ( 2853 = 2853 )  then 1 else 0 end  )  )  ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   as numeric ) --",1,67.88%,1
"1 )  or 8315 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) ",1,64.91%,1
"I saw this film at the Seattle International Film Festival in a full house of avid movie buffs and Indian ex-pats. The film is amazingly beautiful and smooth flowing for a first film. The direction is self assured, especially with locals who were recruited on the fly fo",0,57.98%,0
1 )  where 4780 = 4780,1,53.32%,1
"-2782'  )  )   or 1 group by concat ( 0x7171706a71, ( select  ( case when  ( 4232 = 4232 )  then 1 else 0 end  )  )  ,0x717a767a71,floor ( rand ( 0 ) *2  )  )   having min ( 0 ) #",1,68.02%,1
"Drawing Restraint 9. dir: Matthew Barney.<br /><br />How do you know when you're in the middle of a pretentious art film? Is it that there is only 8 lines of dialogue in 140 minutes of film? Is it when Bjork is wearing what looks like a giant furry pita on her head in a pseudo-Asian ritual? Maybe when mammoth turds and spinal columns are used in a whale blubber experiment. Or, when you're about ready to kill the composer for making a minimal, and still annoying, version of a Philip Glass score? In any case, Drawing Restraint 9 is among the most pretentious of the modern art movies. At 135 minutes, it adds to its pretension by being boring to boot. I would call the use of color s",0,54.53%,0
