Sentence,Prediction,Confidence,Actual
"1',  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )",1,99.48%,1
linero-noro@cocheacoche.uy,0,97.58%,0
ti20,0,97.58%,0
07375030b,0,97.58%,0
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #,1,99.48%,1
"SELECT important, kill, whyFROM snow WHERE creature  IS NOT NULL",0,97.77%,0
1%'   )    )     )   and sleep  (  5  )  #,1,99.97%,1
5568410000000000,0,97.58%,0
2399,0,97.58%,0
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,1,99.94%,1
7983170000000000,0,97.58%,0
"1"" and elt  (  4594  =  1040,1040  )",1,99.90%,1
SELECT * FROM there WHERE gate BETWEEN '1996-07-01' AND '1996-07-31',0,99.79%,0
villazala,0,97.58%,0
tabakov@wdsl.ly,0,97.58%,0
belalczar,0,97.58%,0
SELECT * FROM matter,0,99.71%,0
SELECT * FROM consonant WHERE using LIKE '%book%',0,99.81%,0
1'   )    )    as bbdf where 1327  =  1327,1,93.71%,1
en9r195d9,0,97.58%,0
SELECT MIN ( hung )  AS shaking FROM breakfast,0,99.74%,0
datario,0,97.58%,0
6660,0,97.58%,0
