Query,Prediction,Confidence,Actual
"1',  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )",1,100.00%,1
linero-noro@cocheacoche.uy,0,98.38%,0
ti20,0,98.38%,0
07375030b,0,98.38%,0
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #,1,100.00%,1
"SELECT important, kill, whyFROM snow WHERE creature  IS NOT NULL",0,100.00%,0
1%'   )    )     )   and sleep  (  5  )  #,1,100.00%,1
5568410000000000,0,98.38%,0
2399,0,98.38%,0
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,1,100.00%,1
7983170000000000,0,98.38%,0
"1"" and elt  (  4594  =  1040,1040  )",1,100.00%,1
SELECT * FROM there WHERE gate BETWEEN '1996-07-01' AND '1996-07-31',0,100.00%,0
villazala,0,98.38%,0
tabakov@wdsl.ly,0,99.94%,0
belalczar,0,98.38%,0
SELECT * FROM matter,0,100.00%,0
SELECT * FROM consonant WHERE using LIKE '%book%',0,100.00%,0
1'   )    )    as bbdf where 1327  =  1327,1,99.00%,1
